x,y
0.158,0.381333333
0.084,0.346666667
0.078,0.349333333
0.195833333,0.376373626
0.375,0.892
0.369047619,0.566
0.389880952,0.476
0.344311377,0.736
0.718562874,0.92
0.326347305,0.97
0.198,0.352
0.31,0.405333333
0.036,0.174377224
0.036,0.174377224
0.38,0.706666667
0.494,0.586666667
0.182,0.630630631
0.126,0.288288288
0.8,0.998
0.45,0.744
0.172,0.696
0.148,0.344
0.24,0.464
0.038,0.114666667
0.064,0.205333333
0.052,0.189333333
0.330666667,0.714
0.286,0.225225225
0.204,0.363363363
0.218,0.513513514
0.088,0.141141141
0.27,0.261261261
0.272,0.345345345
0.108,0.105105105
0.11,0.399399399
0.11,0.303303303
0.148,0.552552553
0.108,0.324324324
0.102,0.333333333
0.326,0.930481283
0.662,0.42513369
0.246,0.604278075
0.72,0.807807808
0.302,0.774774775
0.562,0.978978979
0.062,0.216
0.064,0.301333333
0.154,0.478915663
0.062,0.093333333
0.066,0.168
0.06,0.168
0.592814371,0.922
0.245508982,0.936
0.744966443,0.964
0.296,0.689759036
0.276,0.602409639
0.432,0.837349398
0.274,0.710843373
0.259358289,0.4
0.052,0.162162162
0.042,0.174174174
0.104,0.228228228
0.226,0.602666667
0.512,0.708333333
0.308,0.856
0.822,0.860103627
0.118,0.141141141
0.05,0.126126126
0.066,0.105105105
0.08,0.306666667
0.914,0.917333333
0.749333333,0.94
0.416243655,0.485416667
0.566,0.984984985
0.312,0.6
0.27,0.738666667
0.174,0.312
0.114,0.224
0.196,0.256
0.078,0.192
0.166,0.384
0.192,0.701333333
0.48,0.829333333
0.84,0.989333333
0.452,0.922666667
0.275,0.522321429
0.059375,0.245535714
0.15,0.59437751
0.324,0.78313253
0.196,0.907630522
0.346,0.923694779
0.218,0.947791165
0.05,0.064171123
0.044,0.069518717
0.504,0.663663664
0.094,0.106666667
0.224,0.368
0.226,0.370666667
0.07,0.178666667
0.054,0.08
0.094,0.141333333
0.118,0.133333333
0.082,0.128
0.11,0.322666667
0.14,0.362666667
0.112,0.245333333
0.174,0.405333333
0.182,0.365333333
0.196,0.213333333
0.126,0.296
0.232,0.445333333
0.21,0.498666667
0.044,0.162666667
0.052,0.085333333
0.039735099,0.08
0.404,0.621333333
0.594,0.818666667
0.656,0.994475138
0.536,0.726519337
0.54,0.472891566
0.308,0.608433735
0.332,0.596385542
0.374,0.59939759
0.438,0.656626506
0.283613445,0.522916667
0.269333333,0.312
0.261333333,0.254
0.288,0.254
0.612,0.762666667
0.298,0.524064171
0.25,0.847593583
0.392,0.914438503
0.476,0.628342246
0.476,0.794666667
0.388,0.741333333
0.072,0.36036036
0.04,0.261261261
0.02,0.222222222
0.036,0.255255255
0.03,0.171171171
0.056,0.327327327
0.1,0.249249249
0.038,0.456456456
0.064,0.402402402
0.318,0.842783505
0.102,0.328
0.798798799,0.79
0.164,0.24
0.168,0.386666667
0.198,0.448
0.124,0.141333333
0.12,0.125333333
0.989333333,0.844
0.615615616,0.582
0.912,0.993975904
0.446,0.992
0.586,0.992
0.116,0.493975904
0.078,0.195783133
